"V1","V2","V3","V4","V5","V6","V7"
"White","Black or African American","American Indian or Alaska Native","Asian","Native Hawaiian or Other Pacific Islander","Multiple","NA"
"1157 (47.95%)","86 (3.56%)","10 (0.41%)","685 (28.39%)","4 (0.17%)","94 (3.9%)","377 (15.62%)"
