"","diff","lwr.ci","upr.ci","pval"
"2-1",0.0194632474638438,-0.254203246824042,0.293129741751729,0.999952873026907
"3-1",0.283089669195159,-0.494194341606954,1.06037367999727,0.904778084649437
"4-1",-0.10725857047305,-0.222741861747945,0.00822472080184583,0.0862315516436836
"5-1",0.603220251169028,-0.56010730845828,1.76654781079634,0.677726692972632
"6-1",0.167565070336569,-0.0882634276582532,0.423393568331391,0.42209241513512
"3-2",0.263626421731315,-0.554529945175948,1.08178278863858,0.941697573471253
"4-2",-0.126721817936894,-0.40698205026741,0.153538414393623,0.790755267657051
"5-2",0.583757003705184,-0.607267940723227,1.77478194813359,0.728235348743238
"6-2",0.148101822872725,-0.213364119711855,0.509567765457306,0.851729286063143
"4-3",-0.390348239668209,-1.16997820393251,0.389281724596091,0.709780575467554
"5-3",0.320130581973869,-1.07551174384013,1.71577290778786,0.986695544263348
"6-3",-0.11552459885859,-0.927888255727457,0.696839058010277,0.998593027444859
"5-4",0.710478821642077,-0.454417507959214,1.87537515124337,0.505443446241944
"6-4",0.274823640809619,0.0119535814334691,0.537693700185769,0.0343746549364021
"6-5",-0.435655180832458,-1.62270837616162,0.7513980144967,0.901903668543372
