"","diff","lwr.ci","upr.ci","pval"
"2-1",-0.0153041912207089,-0.0361066753495354,0.00549829290811753,0.195740885214186
"3-1",0.0850888062783985,0.0317427330646251,0.138434879492172,0.000557664375613331
"3-2",0.100392997499107,0.0493366498943064,0.151449345103909,1.30012867760598e-05
