"","contrast","gender","eth","estimate","SE","df","z.ratio","p.value"
"1","1 - 0","1","0",0.0629921783193622,0.168723282173315,Inf,0.373346093722003,0.708890874561397
"2","1 - 0","2","0",0.101518516153668,0.116170884919936,Inf,0.873872280680606,0.382187811767592
"3","1 - 0","3","0",-0.284261545066644,0.4319320711378,Inf,-0.658116319813528,0.510463389931591
"4","1 - 0","1","1",-0.316979921539472,0.212000350143194,Inf,-1.49518583967135,0.134865948070973
"5","1 - 0","2","1",-0.278453583705166,0.1849252030918,Inf,-1.50576329807753,0.13212794818135
"6","1 - 0","3","1",-0.664233644925478,0.463388697214717,Inf,-1.43342651410787,0.151735985714546
